LOCATION,DATE,Interest_Rate
AUT,7/31/22,2.26
AUT,10/31/22,3.39
AUT,1/31/23,4.39
AUT,4/30/23,5.29
AUT,7/31/23,5.79
BEL,3/31/00,
BEL,6/30/00,
BEL,9/30/00,
BEL,12/31/00,
BEL,3/31/01,
BEL,6/30/01,
BEL,9/30/01,
BEL,12/31/01,
BEL,3/31/02,
BEL,6/30/02,
BEL,9/30/02,
BEL,12/31/02,
BEL,3/31/03,7.06
BEL,6/30/03,7.04
BEL,9/30/03,6.85
BEL,12/31/03,6.83
BEL,3/31/04,6.77
BEL,6/30/04,6.72
BEL,9/30/04,6.69
BEL,12/31/04,6.64
BEL,3/31/05,6.57
BEL,6/30/05,6.36
BEL,9/30/05,6.37
BEL,12/31/05,6.38
BEL,3/31/06,6.26
BEL,6/30/06,6.22
BEL,9/30/06,6.28
BEL,12/31/06,6.33
BEL,3/31/07,6.36
BEL,6/30/07,6.44
BEL,9/30/07,6.52
BEL,12/31/07,6.72
BEL,3/31/08,6.74
BEL,6/30/08,6.74
BEL,9/30/08,6.83
BEL,12/31/08,6.87
BEL,3/31/09,6.71
BEL,6/30/09,6.47
BEL,9/30/09,6.42
BEL,12/31/09,6.4
BEL,3/31/10,6.27
BEL,6/30/10,6.14
BEL,9/30/10,6.13
BEL,12/31/10,6.06
BEL,3/31/11,6.02
BEL,6/30/11,5.96
BEL,9/30/11,6.01
BEL,12/31/11,5.94
BEL,3/31/12,5.92
BEL,6/30/12,5.81
BEL,9/30/12,5.79
BEL,12/31/12,5.63
BEL,3/31/13,5.55
BEL,6/30/13,5.44
BEL,9/30/13,5.36
BEL,12/31/13,5.33
BEL,3/31/14,5.12
BEL,6/30/14,4.97
BEL,9/30/14,4.93
BEL,12/31/14,4.85
BEL,3/31/15,4.74
BEL,6/30/15,4.49
BEL,9/30/15,4.48
BEL,12/31/15,4.39
BEL,3/31/16,4.37
BEL,6/30/16,4.16
BEL,9/30/16,4.17
BEL,12/31/16,4.1
BEL,3/31/17,4
BEL,6/30/17,3.88
BEL,9/30/17,3.88
BEL,12/31/17,3.77
BEL,3/31/18,3.64
BEL,6/30/18,3.61
BEL,9/30/18,3.61
BEL,12/31/18,3.56
BEL,1/31/19,1.74
BEL,4/30/19,1.73
BEL,7/31/19,1.73
BEL,10/31/19,1.71
BEL,1/31/20,1.68
BEL,4/30/20,1.68
BEL,7/31/20,1.66
BEL,10/31/20,1.66
BEL,1/31/21,1.72
BEL,4/30/21,1.71
BEL,7/31/21,1.72
BEL,10/31/21,1.71
BEL,1/31/22,1.71
BEL,4/30/22,1.68
BEL,7/31/22,1.82
BEL,10/31/22,2.83
BEL,1/31/23,3.89
BEL,4/30/23,4.79
BEL,7/31/23,5.28
DEU,3/31/00,
DEU,6/30/00,
DEU,9/30/00,
DEU,12/31/00,
DEU,3/31/01,
DEU,6/30/01,
DEU,9/30/01,
DEU,12/31/01,
DEU,3/31/02,
DEU,6/30/02,
DEU,9/30/02,
DEU,12/31/02,
DEU,3/31/03,7
DEU,6/30/03,6.94
DEU,9/30/03,6.82
DEU,12/31/03,6.77
DEU,3/31/04,6.69
DEU,6/30/04,6.65
DEU,9/30/04,6.63
DEU,12/31/04,6.6
DEU,3/31/05,6.58
DEU,6/30/05,6.55
DEU,9/30/05,6.5
DEU,12/31/05,6.45
DEU,3/31/06,6.44
DEU,6/30/06,6.48
DEU,9/30/06,6.52
DEU,12/31/06,6.54
DEU,3/31/07,6.56
DEU,6/30/07,6.61
DEU,9/30/07,6.67
DEU,12/31/07,6.75
DEU,3/31/08,6.74
DEU,6/30/08,6.76
DEU,9/30/08,6.85
DEU,12/31/08,6.78
DEU,3/31/09,6.5
DEU,6/30/09,6.37
DEU,9/30/09,6.27
DEU,12/31/09,6.18
DEU,3/31/10,6.12
DEU,6/30/10,6.32
DEU,9/30/10,6.28
DEU,12/31/10,6.19
DEU,3/31/11,6.17
DEU,6/30/11,6.18
DEU,9/30/11,6.19
