DATE,Austria,Belgium,Germany,Estonia,Finland,France,Greece,Ireland,Netherlands,Bank interest rates - loans to corporations of up to EUR 0.25M with a floating rate and an IRF period of up to three months (new business) - Portugal (MIR.M.PT.B.A2A.D.R.2.2240.EUR.N),Slovenia 
2/28/13,2.85,2.13,3.86,3.89,3.27,2.05,7.44,,,7.27,5.82
3/31/13,2.82,2.13,3.71,3.42,3.28,1.96,7.18,,,7.29,5.59
4/30/13,2.83,2.14,3.9,3.14,3.15,2.01,7.31,,,7.23,5.82
5/31/13,2.85,2.13,3.91,3.34,3.16,1.96,7.08,,,7.21,5.64
6/30/13,2.91,2.17,3.69,3.39,3.02,1.99,7.32,,,6.99,5.76
7/31/13,2.72,2.21,3.72,3.36,3.04,2.1,7.16,,,7.02,5.45
8/31/13,2.78,2.2,3.42,2.98,3.37,2.12,7.15,,,6.98,5.62
9/30/13,2.64,2.21,3.7,2.79,3.13,2.11,6.88,,,6.86,5.46
10/31/13,2.74,2.26,3.65,2.83,3.11,2.22,6.73,,,6.86,5.41
11/30/13,2.63,2.28,3.66,3.56,3.21,2.13,6.71,,,6.7,5.3
12/31/13,2.68,2.39,3.75,3.51,3.34,1.99,6.61,,,6.39,5.12
1/31/14,2.71,2.36,3.62,3.44,3.01,2.25,7.01,,,6.74,5.14
2/28/14,2.78,2.35,3.6,3.36,3.03,2.3,6.92,,,6.56,5.48
3/31/14,2.82,2.39,3.68,3.32,3.1,2.23,6.38,,,6.5,4.9
4/30/14,2.79,2.42,3.64,3.35,3.05,2.35,6.71,,,6.64,5.01
5/31/14,2.85,2.42,3.75,3.23,3.08,2.27,6.47,,,6.46,5.08
6/30/14,2.79,2.29,3.59,3.35,3.02,2.32,5.91,,,6.24,4.85
7/31/14,2.74,2.24,3.59,3.29,2.92,2.23,6.14,,,6.11,4.78
8/31/14,2.86,2.22,3.41,3.3,3.04,2.25,6.36,,,6.07,4.71
9/30/14,2.78,2.12,3.52,3.14,3.34,2.23,6.08,,,5.84,4.52
10/31/14,2.56,1.97,3.41,3.59,3.22,2.12,6.06,,,5.84,4.52
11/30/14,2.57,1.93,3.36,3.37,3.29,2.11,6.05,,,5.55,4.56
12/31/14,2.59,1.95,3.55,3.33,3.22,1.9,6.01,,,5.25,4.18
1/31/15,2.44,1.92,3.38,3.26,3.31,1.87,5.46,,,5.52,4.25
2/28/15,2.01,1.84,3.39,3.29,3.11,1.9,6.1,,,5.2,4.06
3/31/15,2.09,1.93,3.34,3.29,3.21,1.94,6.2,,,5.02,3.99
4/30/15,2.24,1.94,3.17,3.23,2.91,1.99,5.73,,,4.93,3.64
5/31/15,2.23,1.87,3.15,3.09,2.98,1.74,6.1,,,4.88,3.69
6/30/15,2.17,1.89,3.14,3.31,2.92,1.83,5.59,,,4.76,3.72
7/31/15,2.12,1.95,3.15,2.88,2.96,1.93,5.63,,,4.76,3.56
