LOCATION,TIME,SHPRICE
BEL,2011-Q1,67.80389
BEL,2011-Q2,66.69592
BEL,2011-Q3,58.35507
BEL,2011-Q4,56.29779
BEL,2012-Q1,60.85084
BEL,2012-Q2,60.52809
BEL,2012-Q3,67.2486
BEL,2012-Q4,68.05343
BEL,2013-Q1,69.97444
BEL,2013-Q2,71.5664
BEL,2013-Q3,75.2079
BEL,2013-Q4,80.82544
BEL,2014-Q1,83.70992
BEL,2014-Q2,89.49949
BEL,2014-Q3,89.4046
BEL,2014-Q4,88.73895
BEL,2015-Q1,98.47987
BEL,2015-Q2,103.4893
BEL,2015-Q3,98.32216
BEL,2015-Q4,99.70867
BEL,2016-Q1,92.96574
BEL,2016-Q2,95.1797
BEL,2016-Q3,96.42699
BEL,2016-Q4,96.35705
BEL,2017-Q1,99.3045
BEL,2017-Q2,103.0387
BEL,2017-Q3,100.5247
BEL,2017-Q4,103.1866
BEL,2018-Q1,100.4264
BEL,2018-Q2,98.93918
BEL,2018-Q3,98.29098
BEL,2018-Q4,88.54966
BEL,2019-Q1,89.41293
BEL,2019-Q2,92.47002
BEL,2019-Q3,93.55869
BEL,2019-Q4,95.29726
BEL,2020-Q1,86.19547
BEL,2020-Q2,71.25291
BEL,2020-Q3,75.63686
BEL,2020-Q4,78.41792
BEL,2021-Q1,85.27314
BEL,2021-Q2,91.53018
BEL,2021-Q3,92.99113
BEL,2021-Q4,96.92123
BEL,2022-Q1,97.77557
BEL,2022-Q2,93.34019
BEL,2022-Q3,88.80946
BEL,2022-Q4,92.26852
BEL,2023-Q1,98.61327
BEL,2023-Q2,97.12535
BEL,2023-Q3,97.48709
CAN,1995-Q1,28.95558
CAN,1995-Q2,30.81381
CAN,1995-Q3,31.75818
CAN,1995-Q4,32.1589
CAN,1996-Q1,34.57444
CAN,1996-Q2,35.88545
CAN,1996-Q3,35.71508
CAN,1996-Q4,40.78018
CAN,1997-Q1,42.11713
CAN,1997-Q2,43.69522
CAN,1997-Q3,47.72432
CAN,1997-Q4,46.61984
CAN,1998-Q1,49.634
CAN,1998-Q2,52.58739
CAN,1998-Q3,42.02094
CAN,1998-Q4,44.25686
CAN,1999-Q1,45.65618
CAN,1999-Q2,48.50743
CAN,1999-Q3,48.83983
CAN,1999-Q4,53.91602
CAN,2000-Q1,63.28449
CAN,2000-Q2,65.98657
CAN,2000-Q3,75.10954
CAN,2000-Q4,65.9136
CAN,2001-Q1,59.28247
CAN,2001-Q2,55.44671
CAN,2001-Q3,51.68624
CAN,2001-Q4,50.56448
CAN,2002-Q1,53.6243
CAN,2002-Q2,52.865
CAN,2002-Q3,45.73721
CAN,2002-Q4,44.64821
CAN,2003-Q1,45.58795
CAN,2003-Q2,47.05892
CAN,2003-Q3,51.29777
CAN,2003-Q4,54.70701
CAN,2004-Q1,59.88867
CAN,2004-Q2,58.93061
CAN,2004-Q3,58.59503
CAN,2004-Q4,62.45148
CAN,2005-Q1,65.82215
CAN,2005-Q2,66.96455
CAN,2005-Q3,73.70796
CAN,2005-Q4,75.31776
CAN,2006-Q1,82.26118
CAN,2006-Q2,82.61006
CAN,2006-Q3,82.46647
CAN,2006-Q4,86.52432
CAN,2007-Q1,90.62907
CAN,2007-Q2,96.24426
CAN,2007-Q3,96.36863
CAN,2007-Q4,96.76974
CAN,2008-Q1,92.54858
CAN,2008-Q2,100.5174
CAN,2008-Q3,91.918
CAN,2008-Q4,63.33649
CAN,2009-Q1,59.64314
CAN,2009-Q2,68.84159
CAN,2009-Q3,75.21535
CAN,2009-Q4,79.74791
CAN,2010-Q1,81.54835
CAN,2010-Q2,82.84911
CAN,2010-Q3,82.37946
CAN,2010-Q4,89.95427
CAN,2011-Q1,95.8848
CAN,2011-Q2,94.63897
CAN,2011-Q3,87.9992
CAN,2011-Q4,83.24931
CAN,2012-Q1,86.77187
CAN,2012-Q2,81.96211
CAN,2012-Q3,83.23183
CAN,2012-Q4,85.55235
CAN,2013-Q1,88.7296
CAN,2013-Q2,86.26052
CAN,2013-Q3,88.0979
CAN,2013-Q4,92.5257
CAN,2014-Q1,97.57421
CAN,2014-Q2,102.3635
CAN,2014-Q3,106.957
CAN,2014-Q4,101.4247
CAN,2015-Q1,103.5648
CAN,2015-Q2,105.1882
CAN,2015-Q3,97.52214
CAN,2015-Q4,93.72481
CAN,2016-Q1,89.25116
CAN,2016-Q2,96.58386
CAN,2016-Q3,101.6934
CAN,2016-Q4,104.1303
CAN,2017-Q1,108.4272
CAN,2017-Q2,107.9365
CAN,2017-Q3,105.8885
CAN,2017-Q4,111.4751
CAN,2018-Q1,109.6913
CAN,2018-Q2,110.6687
CAN,2018-Q3,113.6619
CAN,2018-Q4,104.7972
CAN,2019-Q1,109.1031
CAN,2019-Q2,114.1865
CAN,2019-Q3,114.8966
CAN,2019-Q4,117.0793
CAN,2020-Q1,113.1711
CAN,2020-Q2,103.3257
CAN,2020-Q3,113.2623
CAN,2020-Q4,117.4307
CAN,2021-Q1,127.229
CAN,2021-Q2,136.4981
CAN,2021-Q3,142.1406
CAN,2021-Q4,146.7877
CAN,2022-Q1,148.521
CAN,2022-Q2,143.5148
CAN,2022-Q3,134.6975
CAN,2022-Q4,136.0116
CAN,2023-Q1,140.8705
CAN,2023-Q2,140.8406
CAN,2023-Q3,140.5824
CZE,1995-Q1,49.39254
CZE,1995-Q2,41.30526
CZE,1995-Q3,41.90679
CZE,1995-Q4,43.07644
CZE,1996-Q1,46.58538
CZE,1996-Q2,53.90403
CZE,1996-Q3,56.17649
CZE,1996-Q4,52.16627
CZE,1997-Q1,57.84742
CZE,1997-Q2,51.59816
CZE,1997-Q3,53.03515
CZE,1997-Q4,50.46193
CZE,1998-Q1,47.95554
CZE,1998-Q2,47.22033
CZE,1998-Q3,43.57772
CZE,1998-Q4,37.72948
CZE,1999-Q1,37.89657
CZE,1999-Q2,45.54941
CZE,1999-Q3,50.62902
CZE,1999-Q4,48.35656
CZE,2000-Q1,60.10583
CZE,2000-Q2,58.3136
CZE,2000-Q3,54.43104
CZE,2000-Q4,47.72429
CZE,2001-Q1,47.33563
CZE,2001-Q2,42.54074
CZE,2001-Q3,36.74497
CZE,2001-Q4,38.24613
CZE,2002-Q1,41.71263
CZE,2002-Q2,45.2864
CZE,2002-Q3,44.05059
CZE,2002-Q4,44.45061
