LOCATION,DATE,CLIR
DEN,6/30/05,3.16
DEN,7/31/05,3.21
DEN,8/31/05,3.24
DEN,9/30/05,3.05
DEN,10/31/05,3.22
DEN,11/30/05,3.46
DEN,12/31/05,3.35
DEN,1/31/06,3.31
DEN,2/28/06,3.48
DEN,3/31/06,3.7
DEN,4/30/06,3.98
DEN,5/31/06,4.02
DEN,6/30/06,4.03
DEN,7/31/06,4.06
DEN,8/31/06,3.93
DEN,9/30/06,3.79
DEN,10/31/06,3.88
DEN,11/30/06,3.78
DEN,12/31/06,3.78
DEN,1/31/07,4
DEN,2/28/07,4.05
DEN,3/31/07,3.96
DEN,4/30/07,4.18
DEN,5/31/07,4.34
DEN,6/30/07,4.65
DEN,7/31/07,4.58
DEN,8/31/07,4.39
DEN,9/30/07,4.36
DEN,10/31/07,4.39
DEN,11/30/07,4.21
DEN,12/31/07,4.33
DEN,1/31/08,4.15
DEN,2/29/08,4.08
DEN,3/31/08,4.04
DEN,4/30/08,4.29
DEN,5/31/08,4.42
DEN,6/30/08,4.82
DEN,7/31/08,4.78
DEN,8/31/08,4.49
DEN,9/30/08,4.37
DEN,10/31/08,4.43
DEN,11/30/08,4.06
DEN,12/31/08,3.5
DEN,1/31/09,3.44
DEN,2/28/09,3.55
DEN,3/31/09,3.44
DEN,4/30/09,3.5
DEN,5/31/09,3.62
DEN,6/30/09,3.76
DEN,7/31/09,3.74
DEN,8/31/09,3.6
DEN,9/30/09,3.65
DEN,10/31/09,3.6
DEN,11/30/09,3.62
DEN,12/31/09,3.53
DEN,1/31/10,3.57
DEN,2/28/10,3.5
DEN,3/31/10,3.4
DEN,4/30/10,3.34
DEN,5/31/10,2.93
DEN,6/30/10,2.7
DEN,7/31/10,2.72
DEN,8/31/10,2.45
DEN,9/30/10,2.4
DEN,10/31/10,2.46
DEN,11/30/10,2.65
DEN,12/31/10,3.01
DEN,1/31/11,3.05
DEN,2/28/11,3.23
DEN,3/31/11,3.29
DEN,4/30/11,3.42
DEN,5/31/11,3.13
DEN,6/30/11,2.96
DEN,7/31/11,3.02
DEN,8/31/11,2.49
DEN,9/30/11,2.07
DEN,10/31/11,2.23
DEN,11/30/11,2.01
DEN,12/31/11,1.86
DEN,1/31/12,1.74
DEN,2/29/12,1.84
DEN,3/31/12,1.89
DEN,4/30/12,1.71
DEN,5/31/12,1.37
DEN,6/30/12,1.26
DEN,7/31/12,1.1
DEN,8/31/12,1.15
DEN,9/30/12,1.31
DEN,10/31/12,1.29
DEN,11/30/12,1.11
DEN,12/31/12,1.07
DEN,1/31/13,1.61
DEN,2/28/13,1.73
DEN,3/31/13,1.59
DEN,4/30/13,1.42
DEN,5/31/13,1.45
DEN,6/30/13,1.72
DEN,7/31/13,1.77
DEN,8/31/13,1.94
DEN,9/30/13,2.1
DEN,10/31/13,1.93
DEN,11/30/13,1.8
DEN,12/31/13,1.89
DEN,1/31/14,1.86
DEN,2/28/14,1.67
DEN,3/31/14,1.61
DEN,4/30/14,1.57
DEN,5/31/14,1.47
DEN,6/30/14,1.38
DEN,7/31/14,1.24
DEN,8/31/14,1.07
DEN,9/30/14,0.96
DEN,10/31/14,1.13
DEN,11/30/14,1.03
DEN,12/31/14,0.93
DEN,1/31/15,0.63
DEN,2/28/15,0.2
DEN,3/31/15,0.3
DEN,4/30/15,0.25
DEN,5/31/15,0.73
DEN,6/30/15,1
DEN,7/31/15,0.94
DEN,8/31/15,0.84
DEN,9/30/15,0.93
DEN,10/31/15,0.83
DEN,11/30/15,0.81
DEN,12/31/15,0.83
DEN,1/31/16,0.79
DEN,2/29/16,0.55
DEN,3/31/16,0.51
DEN,4/30/16,0.4
DEN,5/31/16,0.41
DEN,6/30/16,0.23
DEN,7/31/16,0.07
DEN,8/31/16,0.04
DEN,9/30/16,0.01
DEN,10/31/16,0.13
DEN,11/30/16,0.32
DEN,12/31/16,0.39
DEN,1/31/17,0.37
DEN,2/28/17,0.33
DEN,3/31/17,0.19
DEN,4/30/17,0.55
DEN,5/31/17,0.64
DEN,6/30/17,0.53
DEN,7/31/17,0.67
DEN,8/31/17,0.55
DEN,9/30/17,0.51
DEN,10/31/17,0.53
DEN,11/30/17,0.44
DEN,12/31/17,0.41
DEN,1/31/18,0.57
DEN,2/28/18,0.77
DEN,3/31/18,0.64
DEN,4/30/18,0.55
DEN,5/31/18,0.52
DEN,6/30/18,0.41
DEN,7/31/18,0.32
DEN,8/31/18,0.33
DEN,9/30/18,0.37
DEN,10/31/18,0.42
DEN,11/30/18,0.34
DEN,12/31/18,0.23
DEN,1/31/19,0.15
DEN,2/28/19,0.05
DEN,3/31/19,0.16
DEN,4/30/19,0.08
DEN,5/31/19,0.04
DEN,6/30/19,-0.22
DEN,7/31/19,-0.31
DEN,8/31/19,-0.58
DEN,9/30/19,-0.59
DEN,10/31/19,-0.43
DEN,11/30/19,-0.31
DEN,12/31/19,-0.26
DEN,1/31/20,-0.26
