LOCATION,TIME,COMPEMPLOYEEACTY
BEL,2019,54.90439487
BEL,2020,55.68236518
BEL,2021,53.95317071
BEL,2022,53.87040782
ESP,1995,51.54746997
ESP,1996,51.35595058
ESP,1997,52.71550307
ESP,1998,53.21272921
ESP,1999,53.63349919
ESP,2000,53.68937907
ESP,2001,52.71233168
ESP,2002,52.49091492
ESP,2003,52.18366139
ESP,2004,52.27960664
ESP,2005,52.26186615
ESP,2006,52.54358562
ESP,2007,52.4595712
ESP,2008,53.21255056
ESP,2009,52.89632701
ESP,2010,53.45755719
ESP,2011,52.36763687
ESP,2012,50.76217069
ESP,2013,50.12141166
ESP,2014,50.35426452
ESP,2015,50.34796741
ESP,2016,49.81112821
ESP,2017,49.69277997
ESP,2018,50.12502065
ESP,2019,51.3620079
ESP,2020,54.91173124
ESP,2021,54.19915667
ESP,2022,52.46656419
LUX,1995,53.52128914
LUX,1996,53.50801336
LUX,1997,52.65717127
LUX,1998,53.50717107
LUX,1999,51.99900468
LUX,2000,51.97535297
LUX,2001,54.32396513
LUX,2002,55.56366842
LUX,2003,54.83242039
LUX,2004,54.47622797
LUX,2005,54.33192018
LUX,2006,51.63067562
LUX,2007,51.25308415
LUX,2008,51.57814335
LUX,2009,54.16692592
LUX,2010,51.6160688
LUX,2011,53.03242053
LUX,2012,52.55020058
LUX,2013,52.20436354
LUX,2014,51.97609175
LUX,2015,50.58429405
LUX,2016,50.58640113
LUX,2017,52.37629804
LUX,2018,54.37979946
LUX,2019,55.19908958
LUX,2020,54.77128239
LUX,2021,52.99871335
LUX,2022,54.11774662
CZE,1995,43.44345656
CZE,1996,44.62971117
CZE,1997,45.17268647
CZE,1998,43.35579496
CZE,1999,42.96030204
CZE,2000,43.07524717
CZE,2001,43.00317228
CZE,2002,44.12301855
CZE,2003,44.37796235
CZE,2004,44.55270427
CZE,2005,44.78631207
CZE,2006,44.49817182
CZE,2007,44.35137741
CZE,2008,45.28975748
CZE,2009,44.99953746
CZE,2010,45.37615317
CZE,2011,45.71810702
CZE,2012,46.76498676
CZE,2013,46.73695097
CZE,2014,45.78764028
CZE,2015,45.40830707
CZE,2016,46.41296455
CZE,2017,47.578158
CZE,2018,49.20236705
CZE,2019,49.41081303
CZE,2020,50.52356741
CZE,2021,50.20328425
CZE,2022,48.84053165
DEU,1995,58.92063074
DEU,1996,58.60283707
DEU,1997,57.59960384
DEU,1998,57.33665232
DEU,1999,58.01314109
DEU,2000,58.90954349
DEU,2001,58.00386839
DEU,2002,57.62445744
DEU,2003,57.53574713
DEU,2004,56.21850109
DEU,2005,55.60150518
DEU,2006,54.27683538
DEU,2007,53.5751814
DEU,2008,54.62673282
DEU,2009,57.31915868
DEU,2010,56.10508639
DEU,2011,55.82244565
DEU,2012,56.9191743
DEU,2013,57.12966146
DEU,2014,56.98463189
DEU,2015,57.38297294
DEU,2016,57.49373858
DEU,2017,57.50860882
DEU,2018,58.40475399
DEU,2019,59.2045786
DEU,2020,59.89491886
DEU,2021,58.41147096
DEU,2022,57.54886273
ITA,1995,42.67239931
ITA,1996,42.93889656
ITA,1997,43.31482526
ITA,1998,41.5920574
ITA,1999,41.84208137
ITA,2000,41.16481381
ITA,2001,41.0765742
ITA,2002,41.50876871
ITA,2003,41.7296153
ITA,2004,41.64062542
ITA,2005,42.28718214
ITA,2006,42.7581492
ITA,2007,42.58379982
ITA,2008,43.27425316
ITA,2009,44.54382531
ITA,2010,44.33635447
ITA,2011,43.99271971
ITA,2012,44.07167676
ITA,2013,43.85456623
ITA,2014,43.64120708
ITA,2015,43.78775161
ITA,2016,43.81681399
ITA,2017,43.91166673
ITA,2018,44.47586092
ITA,2019,44.77702028
ITA,2020,45.21384149
ITA,2021,44.96217066
ITA,2022,44.96656233
CHN,1995,52.03692865
CHN,1996,53.24325754
CHN,1997,52.8793828
CHN,1998,52.8892958
CHN,1999,53.67981238
CHN,2000,52.13636604
CHN,2001,51.934052
CHN,2002,53.01164829
CHN,2003,52.19127942
CHN,2004,50.26365551
CHN,2005,49.70292911
CHN,2006,49.03198021
CHN,2007,49.01812738
CHN,2008,49.496407
CHN,2009,49.57877162
CHN,2010,48.56874717
CHN,2011,48.7365306
CHN,2012,49.49763442
CHN,2013,50.55610816
CHN,2014,50.7177412
CHN,2015,51.24722757
