LOCATION,TIME,QGDP
GBR,2003-Q3,0.985626756
GBR,2003-Q4,0.777338573
GBR,2004-Q1,0.44474421
GBR,2004-Q2,0.529076685
GBR,2004-Q3,0.238714305
GBR,2004-Q4,0.316186089
GBR,2005-Q1,0.750302595
GBR,2005-Q2,0.946491587
GBR,2005-Q3,0.857838571
GBR,2005-Q4,1.043946134
GBR,2006-Q1,0.344745269
GBR,2006-Q2,0.235756048
GBR,2006-Q3,0.142617665
GBR,2006-Q4,0.436638333
GBR,2007-Q1,1.040825177
GBR,2007-Q2,0.658963332
GBR,2007-Q3,0.760831396
GBR,2007-Q4,0.660700654
GBR,2008-Q1,0.484699608
GBR,2008-Q2,-0.476414117
GBR,2008-Q3,-1.513153285
GBR,2008-Q4,-2.235659661
GBR,2009-Q1,-1.940930979
GBR,2009-Q2,-0.286786226
GBR,2009-Q3,0.132204777
GBR,2009-Q4,0.341005222
GBR,2010-Q1,0.949826918
GBR,2010-Q2,1.143742541
GBR,2010-Q3,0.63431984
GBR,2010-Q4,0.137385936
GBR,2011-Q1,0.253645895
GBR,2011-Q2,0.05554265
GBR,2011-Q3,0.153660086
GBR,2011-Q4,-0.041728047
GBR,2012-Q1,0.830481781
GBR,2012-Q2,-0.056038575
GBR,2012-Q3,1.242536205
GBR,2012-Q4,-0.101464519
GBR,2013-Q1,0.234370798
GBR,2013-Q2,0.678973491
GBR,2013-Q3,0.749008394
GBR,2013-Q4,0.642727656
GBR,2014-Q1,0.937213186
GBR,2014-Q2,0.874234419
GBR,2014-Q3,0.759640948
GBR,2014-Q4,0.650659625
GBR,2015-Q1,0.412696486
GBR,2015-Q2,0.632878074
GBR,2015-Q3,0.430890009
GBR,2015-Q4,0.738668699
GBR,2016-Q1,0.365381448
GBR,2016-Q2,0.629457625
GBR,2016-Q3,0.441599466
GBR,2016-Q4,0.64995375
GBR,2017-Q1,0.73915971
GBR,2017-Q2,0.536199019
GBR,2017-Q3,0.515931658
GBR,2017-Q4,0.627325988
GBR,2018-Q1,0.149766105
GBR,2018-Q2,0.454842112
GBR,2018-Q3,0.555787083
GBR,2018-Q4,0.257173624
GBR,2019-Q1,0.630363596
GBR,2019-Q2,0.109963441
GBR,2019-Q3,0.610854174
GBR,2019-Q4,-0.025112203
GBR,2020-Q1,-2.640828448
GBR,2020-Q2,-20.99137261
GBR,2020-Q3,16.60861429
GBR,2020-Q4,1.213880983
GBR,2021-Q1,-1.052939341
GBR,2021-Q2,6.52844295
GBR,2021-Q3,1.733513287
GBR,2021-Q4,1.525013404
GBR,2022-Q1,0.487184155
GBR,2022-Q2,0.05129824
GBR,2022-Q3,-0.093938796
GBR,2022-Q4,0.129018134
GBR,2023-Q1,0.14462236
GBR,2023-Q2,0.204720013
EST,1995-Q2,-0.988346705
EST,1995-Q3,-0.337688048
EST,1995-Q4,1.169995643
EST,1996-Q1,0.899316812
EST,1996-Q2,1.702640191
EST,1996-Q3,3.180535885
EST,1996-Q4,2.032044737
EST,1997-Q1,3.625720811
EST,1997-Q2,4.202831498
EST,1997-Q3,2.693311509
EST,1997-Q4,3.131918601
EST,1998-Q1,0.818751796
EST,1998-Q2,-0.565285269
EST,1998-Q3,-0.101684824
EST,1998-Q4,-1.820647241
EST,1999-Q1,-0.757955845
EST,1999-Q2,0.877411658
EST,1999-Q3,1.031387092
EST,1999-Q4,2.589983159
EST,2000-Q1,3.798031867
EST,2000-Q2,2.504247465
EST,2000-Q3,1.23384265
EST,2000-Q4,2.249921543
EST,2001-Q1,1.442800663
EST,2001-Q2,0.124261453
EST,2001-Q3,2.065120454
EST,2001-Q4,1.467099151
EST,2002-Q1,0.696998685
EST,2002-Q2,3.497038583
EST,2002-Q3,2.004471916
EST,2002-Q4,0.732021518
EST,2003-Q1,2.293804539
EST,2003-Q2,2.31575319
EST,2003-Q3,0.983639172
EST,2003-Q4,2.611119508
EST,2004-Q1,2.319078141
EST,2004-Q2,-0.679634575
EST,2004-Q3,2.261345726
EST,2004-Q4,2.078503152
EST,2005-Q1,1.756260273
EST,2005-Q2,3.959926641
EST,2005-Q3,2.394843029
EST,2005-Q4,2.309237716
EST,2006-Q1,2.297257662
EST,2006-Q2,2.094783891
EST,2006-Q3,2.290224426
EST,2006-Q4,2.480964457
EST,2007-Q1,3.315680632
EST,2007-Q2,0.390307944
EST,2007-Q3,0.201067946
EST,2007-Q4,-0.600339746
EST,2008-Q1,-2.22016118
EST,2008-Q2,1.015880288
EST,2008-Q3,0.04769492
EST,2008-Q4,-11.79810568
EST,2009-Q1,-2.651967537
EST,2009-Q2,-3.374436474
EST,2009-Q3,-1.967139389
EST,2009-Q4,0.468825665
EST,2010-Q1,1.378154684
EST,2010-Q2,1.267532627
EST,2010-Q3,1.465731796
EST,2010-Q4,2.101124722
EST,2011-Q1,2.027470402
EST,2011-Q2,1.909178377
EST,2011-Q3,1.670493121
EST,2011-Q4,-0.032901864
EST,2012-Q1,0.593754316
EST,2012-Q2,1.226170012
EST,2012-Q3,0.499927157
EST,2012-Q4,0.888182136
EST,2013-Q1,0.479255108
EST,2013-Q2,-0.256549776
EST,2013-Q3,-0.248681618
EST,2013-Q4,-0.04991333
EST,2014-Q1,1.641612031
EST,2014-Q2,0.408104226
EST,2014-Q3,1.340419253
EST,2014-Q4,1.497656945
EST,2015-Q1,-1.396813129
EST,2015-Q2,1.972411552
EST,2015-Q3,0.744766514
EST,2015-Q4,-0.185242038
EST,2016-Q1,1.623669802
EST,2016-Q2,-0.178399315
EST,2016-Q3,1.084934934
EST,2016-Q4,1.208821402
EST,2017-Q1,2.071119609
EST,2017-Q2,1.754125619
EST,2017-Q3,0.356631983
EST,2017-Q4,1.547840712
EST,2018-Q1,0.6545778
EST,2018-Q2,0.821558306
EST,2018-Q3,0.928878509
EST,2018-Q4,1.164539081
EST,2019-Q1,1.687166292
EST,2019-Q2,0.395425167
EST,2019-Q3,0.35781631
EST,2019-Q4,0.742940459
EST,2020-Q1,-0.390104117
EST,2020-Q2,-5.265976673
EST,2020-Q3,4.699811383
EST,2020-Q4,2.4287266
EST,2021-Q1,2.801859417
EST,2021-Q2,2.051531376
EST,2021-Q3,-0.280823717
EST,2021-Q4,1.006665845
EST,2022-Q1,-0.064479384
EST,2022-Q2,-1.085983097
EST,2022-Q3,-0.724792403
EST,2022-Q4,-1.378334929
EST,2023-Q1,-0.662328181
EST,2023-Q2,-0.241304832
DNK,1995-Q1,0.514218948
DNK,1995-Q2,-0.286098332
DNK,1995-Q3,0.4170515
DNK,1995-Q4,0.731687334
DNK,1996-Q1,0.015030293
DNK,1996-Q2,2.708013266
DNK,1996-Q3,0.282819107
DNK,1996-Q4,0.034009024
DNK,1997-Q1,1.255106285
DNK,1997-Q2,1.717487195
DNK,1997-Q3,-0.282299164
DNK,1997-Q4,-0.013656432
DNK,1998-Q1,1.507787696
DNK,1998-Q2,-0.7552173
DNK,1998-Q3,1.837315059
DNK,1998-Q4,0.320757081
DNK,1999-Q1,0.906036323
DNK,1999-Q2,0.516383093
DNK,1999-Q3,0.618053367
DNK,1999-Q4,1.398796059
DNK,2000-Q1,0.975099668
DNK,2000-Q2,1.138417342
DNK,2000-Q3,0.276238214
DNK,2000-Q4,0.977800167
DNK,2001-Q1,-1.085721803
DNK,2001-Q2,0.488181251
DNK,2001-Q3,0.897826274
DNK,2001-Q4,-0.197216541
DNK,2002-Q1,-0.033566445
DNK,2002-Q2,-0.009920153
DNK,2002-Q3,0.340052292
DNK,2002-Q4,-0.330022229
DNK,2003-Q1,0.535905782
DNK,2003-Q2,-0.930017583
DNK,2003-Q3,0.343466356
DNK,2003-Q4,1.86298281
DNK,2004-Q1,0.481617502
DNK,2004-Q2,0.595381652
DNK,2004-Q3,0.235625688
DNK,2004-Q4,1.08087338
DNK,2005-Q1,-0.362985061
DNK,2005-Q2,1.968906957
DNK,2005-Q3,0.111335017
DNK,2005-Q4,0.324723372
DNK,2006-Q1,1.256661041
DNK,2006-Q2,2.982414581
DNK,2006-Q3,-0.666822567
DNK,2006-Q4,-0.271021311
DNK,2007-Q1,0.33129799
DNK,2007-Q2,-0.447886765
DNK,2007-Q3,0.939515371
DNK,2007-Q4,1.005988508
DNK,2008-Q1,-0.041561001
DNK,2008-Q2,-0.922683985
DNK,2008-Q3,-0.584136662
DNK,2008-Q4,-2.361480698
DNK,2009-Q1,-1.423447795
DNK,2009-Q2,-1.938341181
DNK,2009-Q3,0.345762915
DNK,2009-Q4,0.090743262
DNK,2010-Q1,0.863569079
DNK,2010-Q2,0.683517919
DNK,2010-Q3,1.585373276
DNK,2010-Q4,-0.225049653
DNK,2011-Q1,0.217842912
DNK,2011-Q2,1.002326552
DNK,2011-Q3,-1.243706016
DNK,2011-Q4,0.817187733
DNK,2012-Q1,-0.069457024
DNK,2012-Q2,0.075250259
DNK,2012-Q3,0.093894243
DNK,2012-Q4,-0.16162989
DNK,2013-Q1,0.563835211
DNK,2013-Q2,0.074281939
DNK,2013-Q3,0.633381867
DNK,2013-Q4,0.201104009
DNK,2014-Q1,0.253255592
DNK,2014-Q2,-0.072441775
DNK,2014-Q3,1.673875429
DNK,2014-Q4,0.358693362
DNK,2015-Q1,0.684680081
DNK,2015-Q2,0.467773075
DNK,2015-Q3,0.301652901
DNK,2015-Q4,0.222825124
DNK,2016-Q1,1.152059046
DNK,2016-Q2,1.352637774
DNK,2016-Q3,0.848381829
DNK,2016-Q4,0.720496974
DNK,2017-Q1,0.654390627
DNK,2017-Q2,1.117777678
DNK,2017-Q3,-0.366774101
DNK,2017-Q4,0.75496245
DNK,2018-Q1,0.512055136
DNK,2018-Q2,0.502598831
DNK,2018-Q3,0.602133078
DNK,2018-Q4,0.499343436
DNK,2019-Q1,-0.218151328
DNK,2019-Q2,1.005162294
DNK,2019-Q3,0.457313711
DNK,2019-Q4,-0.304142897
DNK,2020-Q1,-1.021091997
DNK,2020-Q2,-6.04002957
DNK,2020-Q3,5.555475678
DNK,2020-Q4,1.039550846
DNK,2021-Q1,1.579360542
DNK,2021-Q2,2.93649594
DNK,2021-Q3,0.750351775
DNK,2021-Q4,2.424338645
DNK,2022-Q1,-0.900468906
DNK,2022-Q2,0.868663536
DNK,2022-Q3,-0.096688017
DNK,2022-Q4,0.50928716
DNK,2023-Q1,0.735889452
DNK,2023-Q2,0.315772817
ESP,1995-Q1,1.139887818
ESP,1995-Q2,0.626475344
ESP,1995-Q3,0.404785766
ESP,1995-Q4,0.747758398
ESP,1996-Q1,0.596091367
ESP,1996-Q2,0.744412778
ESP,1996-Q3,0.857968292
ESP,1996-Q4,0.521448142
ESP,1997-Q1,1.02024876
ESP,1997-Q2,0.912896259
ESP,1997-Q3,1.191036053
ESP,1997-Q4,1.366050308
ESP,1998-Q1,0.881427181
ESP,1998-Q2,1.134158547
ESP,1998-Q3,0.945725553
ESP,1998-Q4,1.086423705
ESP,1999-Q1,1.003493424
ESP,1999-Q2,1.192424139
ESP,1999-Q3,1.330389822
ESP,1999-Q4,1.121813248
ESP,2000-Q1,1.604993102
ESP,2000-Q2,1.258317872
ESP,2000-Q3,1.080112971
ESP,2000-Q4,1.018595501
ESP,2001-Q1,1.066791396
ESP,2001-Q2,0.745368702
ESP,2001-Q3,0.931995265
ESP,2001-Q4,0.680507295
ESP,2002-Q1,0.430755321
ESP,2002-Q2,0.821027301
ESP,2002-Q3,0.616873221
ESP,2002-Q4,0.748338211
ESP,2003-Q1,0.936732447
ESP,2003-Q2,0.526951735
ESP,2003-Q3,0.659827719
ESP,2003-Q4,0.852443519
ESP,2004-Q1,0.60844005
ESP,2004-Q2,0.983144346
ESP,2004-Q3,0.941201225
ESP,2004-Q4,0.671859278
ESP,2005-Q1,0.981551608
ESP,2005-Q2,0.888808271
ESP,2005-Q3,0.967356128
ESP,2005-Q4,1.001443906
ESP,2006-Q1,1.150570686
ESP,2006-Q2,0.975689234
ESP,2006-Q3,0.929862547
ESP,2006-Q4,0.948808227
ESP,2007-Q1,0.9203708
ESP,2007-Q2,0.902488869
ESP,2007-Q3,0.767469701
ESP,2007-Q4,0.630260395
ESP,2008-Q1,0.221135567
ESP,2008-Q2,0.115662067
ESP,2008-Q3,-0.182712679
ESP,2008-Q4,-1.627125163
ESP,2009-Q1,-2.600341016
ESP,2009-Q2,-0.004460138
ESP,2009-Q3,0.213724455
ESP,2009-Q4,-0.03523569
ESP,2010-Q1,-0.022261964
ESP,2010-Q2,0.156239562
ESP,2010-Q3,-0.048540272
ESP,2010-Q4,0.052271008
ESP,2011-Q1,-0.150061692
ESP,2011-Q2,-0.310222499
ESP,2011-Q3,-0.645826509
ESP,2011-Q4,-0.663137427
ESP,2012-Q1,-0.931195619
ESP,2012-Q2,-0.958602679
ESP,2012-Q3,-0.519688187
ESP,2012-Q4,-0.740714981
ESP,2013-Q1,-0.307528213
ESP,2013-Q2,-0.088247812
ESP,2013-Q3,-0.036737262
ESP,2013-Q4,0.166160366
ESP,2014-Q1,0.367288312
ESP,2014-Q2,0.471333071
ESP,2014-Q3,0.734260997
ESP,2014-Q4,0.859167269
ESP,2015-Q1,1.147481028
ESP,2015-Q2,1.079096045
ESP,2015-Q3,0.905855831
ESP,2015-Q4,0.973057209
ESP,2016-Q1,0.680244742
ESP,2016-Q2,0.414833758
ESP,2016-Q3,0.856627103
ESP,2016-Q4,0.543757017
ESP,2017-Q1,0.78518249
ESP,2017-Q2,1.02435951
ESP,2017-Q3,0.629616134
ESP,2017-Q4,0.539328503
ESP,2018-Q1,0.427001157
ESP,2018-Q2,0.585880251
ESP,2018-Q3,0.52041551
ESP,2018-Q4,0.659258956
ESP,2019-Q1,0.608861527
ESP,2019-Q2,0.346200217
ESP,2019-Q3,0.295000101
ESP,2019-Q4,0.217169436
ESP,2020-Q1,-5.48725517
ESP,2020-Q2,-17.82625592
ESP,2020-Q3,16.63793363
ESP,2020-Q4,-0.058975087
ESP,2021-Q1,-0.228663315
ESP,2021-Q2,1.352205559
ESP,2021-Q3,3.108188446
ESP,2021-Q4,2.26529089
ESP,2022-Q1,-0.573839954
ESP,2022-Q2,2.791828726
ESP,2022-Q3,0.387178437
ESP,2022-Q4,0.414004686
ESP,2023-Q1,0.520072656
ESP,2023-Q2,0.420518918
JPN,1995-Q1,1.122071271
JPN,1995-Q2,0.94156056
