Country,Time,ngdpsa,hdisa,gssa,compsa,emplsa,sharep,neer,tot,hpi,ir_mort,ir_cons,oecd,imfdeveloped,eu,ea
Transformation,,gr,gr,gr,gr,gr,gr,gr,gr,gr,n,n,n,n,n,n
SA,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Reciprocal,,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n
NOR,10/31/20,1.247431013,2.26,12.8832977,56.82365319,2706.488,146.1826,100.001667,80.08532722,159.235025,1.81,0.36,,,,
NOR,1/31/21,-0.341314443,-2.82,13.29453688,48.78514567,2724.855,165.5748,105.393333,114.7728847,175.90715,1.78,0.33,,,,
NOR,4/30/21,1.282167177,0.73,13.29453688,48.78514567,2794.061,177.7793,105.393333,114.7728847,175.90715,1.77,0.31,,,,
NOR,7/31/21,3.244772437,0.32,13.29453688,48.78514567,2837.879,185.1987,105.393333,114.7728847,175.90715,1.75,0.26,,,,
NOR,10/31/21,0.447454467,14.38,13.29453688,48.78514567,2833.705,197.4827,105.393333,114.7728847,175.90715,1.86,0.31,,,,
NOR,1/31/22,-0.572922624,-9.83,,38.81545335,2853.244,199.777,104.949167,166.5642162,185.125875,2.07,0.43,,,,
NOR,4/30/22,1.165815315,-1.36,,38.81545335,2867.113,211.7659,104.949167,166.5642162,185.125875,2.31,0.51,,,,
NOR,7/31/22,1.240325526,-2.51,,38.81545335,2855.608,208.1653,104.949167,166.5642162,185.125875,2.69,0.73,,,,
NOR,10/31/22,-0.085476669,-1.84,,38.81545335,2860.835,204.6834,104.949167,166.5642162,185.125875,3.79,1.35,,,,
NOR,1/31/23,0.33566784,1.28,,,2868.799,206.7645,,,,4.14,1.83,,,,
NOR,4/30/23,0.035855528,-1.37,,,2899.994,208.2854,,,,4.23,1.99,,,,
HUN,4/30/18,0.904200032,1.34,10.85668187,49.94299191,4473.837,175.8564,108.835833,99.29476772,155.297575,5.26,,,,,
HUN,7/31/18,1.500376033,0.21,10.85668187,49.94299191,4471.233,172.0992,108.835833,99.29476772,155.297575,5.01,,,,,
HUN,10/31/18,1.027988765,2.05,10.85668187,49.94299191,4479.021,183.0118,108.835833,99.29476772,155.297575,5.01,,,,,
HUN,1/31/19,1.954293344,-0.76,10.41660605,48.9749187,4512.229,194.0795,106.290833,99.56162224,181.63865,4.95,,,,,
HUN,4/30/19,0.325596739,4.51,10.41660605,48.9749187,4521.661,196.6897,106.290833,99.56162224,181.63865,4.7,,,,,
HUN,7/31/19,1.407654067,-0.07,10.41660605,48.9749187,4504.625,192.3654,106.290833,99.56162224,181.63865,4.22,,,,,
HUN,10/31/19,0.549032483,0.96,10.41660605,48.9749187,4509.985,205.3144,106.290833,99.56162224,181.63865,4.53,,,,,
HUN,1/31/20,-0.374392192,-1.33,10.90994149,48.95666924,4484.36,196.6108,99.998333,101.5959631,190.632525,4.33,,,,,
HUN,4/30/20,-14.52497287,-7.51,10.90994149,48.95666924,4427.632,167.1827,99.998333,101.5959631,190.632525,4.43,,,,,
HUN,7/31/20,11.83199194,10.9,10.90994149,48.95666924,4465.446,166.5003,99.998333,101.5959631,190.632525,4.5,,,,,
HUN,10/31/20,1.570829238,-0.71,10.90994149,48.95666924,4464.461,176.616,99.998333,101.5959631,190.632525,4.4,,,,,
HUN,1/31/21,1.134442931,3.73,13.06652411,47.03844837,4588.24,208.6995,98.514167,98.48242523,222.097675,4.33,,,,,
HUN,4/30/21,2.431741484,-0.43,13.06652411,47.03844837,4633.991,216.9197,98.514167,98.48242523,222.097675,4.27,,,,,
HUN,7/31/21,1.418628864,1.51,13.06652411,47.03844837,4654.109,238.5741,98.514167,98.48242523,222.097675,4.12,,,,,
