LOCATION,TIME,QGDP,HHSAV,HHDI,ECT,EMP,CLIR,TERMTRADE,SHPRICE,EER,RPP,MORT
AUS,7/31/15,1.012804558,6.104797365,-0.21,52.6760397,72.11708,,100,97.31507,102.78,123.644725,
AUS,10/31/15,0.616621011,6.104797365,-1.19,52.6760397,72.51007,,100,94.37376,103.156667,123.644725,
AUS,1/31/16,0.906955376,5.483067864,0.25,50.85281779,72.54881,,114.2927372,91.08822,103.946667,130.4453,
AUS,4/30/16,0.626050164,5.483067864,0.52,50.85281779,72.41713,,114.2927372,95.24955,105.573333,130.4453,
AUS,7/31/16,0.071473653,5.483067864,0.01,50.85281779,72.34456,,114.2927372,98.8079,107.656667,130.4453,
AUS,10/31/16,1.070294879,5.483067864,-0.07,50.85281779,72.28725,,114.2927372,99.1341,109.363333,130.4453,
AUS,1/31/17,0.330189167,4.871475372,0.11,50.81587022,72.42339,,116.4846802,104.4109,111.343333,141.3359,
AUS,4/30/17,0.599304313,4.871475372,-0.35,50.81587022,72.79155,,116.4846802,105.7792,108.72,141.3359,
AUS,7/31/17,0.930245889,4.871475372,0.04,50.81587022,73.17734,,116.4846802,104.2,111.356667,141.3359,
AUS,10/31/17,0.487001462,4.871475372,1.15,50.81587022,73.46988,,116.4846802,108.2012,108.283333,141.3359,
AUS,1/31/18,0.992495226,5.706899105,-0.12,50.47152565,73.65382,,123.1446465,108.6863,107.196667,139.303,
AUS,4/30/18,0.714921003,5.706899105,0.22,50.47152565,73.58951,,123.1446465,109.3749,104.706667,139.303,
AUS,7/31/18,0.438767086,5.706899105,-0.05,50.47152565,73.75949,,123.1446465,113.6466,104.92,139.303,
AUS,10/31/18,0.241640866,5.706899105,0.66,50.47152565,73.96333,,123.1446465,105.1127,104.156667,139.303,
AUS,1/31/19,0.565688899,12.2218128,0.16,51.48317657,74.07294,,124.1593514,109.5613,102.04,133.6399,
AUS,4/30/19,0.401594619,12.2218128,-0.8,51.48317657,74.17422,,124.1593514,116.4485,101.216667,133.6399,
